schema_version	status	latest	organism	assembly	upstream	downstream	jaspar_release	tax_group	background_version	artifact	artifact_sha256	motif_count	promoter_count	annotation_hash	promoter_hash	motif_hash	annotation_snapshot	annotation_source	annotation_retrieved_at	scoring_spec	pscanr_version	pscanr_commit	bioc_version	generated_at
1	validated	TRUE	dm	dm6	200	50	2020	insects	2	backgrounds/J2020_dm6_200u_50d_UCSC.psbg2.txt	3e0dfa8b5b99931b02e498f35f42f6e608bb201aa26a452afa3180e8d6dc30c8	143	22400	6fc25da1811b94baedcb3b79075f5cda0248c437abccace13ac5671af8c7f48c	54e97b46a20dc3bbd3bba9e46e78895ea3e77457835171368e7cc0bae3d67e00	23c350a34d917f7e7a9a6fe9a22f294d79528d35efadb3be79417881ddce8290	annotation_snapshots/dm6_200u_50d_54e97b46a20dc3bb.rds	ncbiRefSeqCurated	2026-08-04 16:32:14 UTC	pscan-best-hit-v1	0.99.0	47b59b6a3135a032e02fbd4eb5608397c5cd9005	3.23	2026-08-04 16:32:14 UTC
1	validated	TRUE	dm	dm6	450	50	2020	insects	2	backgrounds/J2020_dm6_450u_50d_UCSC.psbg2.txt	4dba235d2795f45e1c713c12699754283ffd4bf0aee4d492fc4a4b6d00768135	143	22454	6fc25da1811b94baedcb3b79075f5cda0248c437abccace13ac5671af8c7f48c	8330e1a53e05907b0acc8ed074a4c0c656292c65c929ff7ac5cccf8718912124	23c350a34d917f7e7a9a6fe9a22f294d79528d35efadb3be79417881ddce8290	annotation_snapshots/dm6_450u_50d_8330e1a53e05907b.rds	ncbiRefSeqCurated	2026-08-04 16:33:42 UTC	pscan-best-hit-v1	0.99.0	47b59b6a3135a032e02fbd4eb5608397c5cd9005	3.23	2026-08-04 16:33:42 UTC
1	validated	TRUE	dm	dm6	500	0	2020	insects	2	backgrounds/J2020_dm6_500u_0d_UCSC.psbg2.txt	35cdeb2d5558cdf6acbea36fc3e9246789158c2a4eed2a246a37514421e5d10c	143	22460	6fc25da1811b94baedcb3b79075f5cda0248c437abccace13ac5671af8c7f48c	583f486b1314a72084ec2c1700f8d6bfc8b9ba35002331e24bc433d3ddf5b82f	23c350a34d917f7e7a9a6fe9a22f294d79528d35efadb3be79417881ddce8290	annotation_snapshots/dm6_500u_0d_583f486b1314a720.rds	ncbiRefSeqCurated	2026-08-04 16:35:46 UTC	pscan-best-hit-v1	0.99.0	47b59b6a3135a032e02fbd4eb5608397c5cd9005	3.23	2026-08-04 16:35:46 UTC
1	validated	TRUE	dm	dm6	950	50	2020	insects	2	backgrounds/J2020_dm6_950u_50d_UCSC.psbg2.txt	576ad09e9a371058eaec373b14b51468279f89606ee356eebbcd3d7426e9dddf	143	22511	6fc25da1811b94baedcb3b79075f5cda0248c437abccace13ac5671af8c7f48c	e9b721780657dcd7a3b62b3834a5dceb7c46c5453f6bcfc2ff2fd07a1b47c01d	23c350a34d917f7e7a9a6fe9a22f294d79528d35efadb3be79417881ddce8290	annotation_snapshots/dm6_950u_50d_e9b721780657dcd7.rds	ncbiRefSeqCurated	2026-08-04 16:38:25 UTC	pscan-best-hit-v1	0.99.0	47b59b6a3135a032e02fbd4eb5608397c5cd9005	3.23	2026-08-04 16:38:25 UTC
1	validated	TRUE	dm	dm6	1000	0	2020	insects	2	backgrounds/J2020_dm6_1000u_0d_UCSC.psbg2.txt	01b58900d8fd2cb0df7b9de54dfb2b7dce96fd22c4670e60261bf9117e0963b9	143	22513	6fc25da1811b94baedcb3b79075f5cda0248c437abccace13ac5671af8c7f48c	65e22508a27d1fb334680cd9339270acab18539a0ce4a96a9cb83af1ba07f406	23c350a34d917f7e7a9a6fe9a22f294d79528d35efadb3be79417881ddce8290	annotation_snapshots/dm6_1000u_0d_65e22508a27d1fb3.rds	ncbiRefSeqCurated	2026-08-04 16:42:14 UTC	pscan-best-hit-v1	0.99.0	47b59b6a3135a032e02fbd4eb5608397c5cd9005	3.23	2026-08-04 16:42:14 UTC
1	validated	TRUE	hs	hg38	200	50	2020	vertebrates	2	backgrounds/J2020_hg38_200u_50d_UCSC.psbg2.txt	12eac3ce9c7b79dc8ab4face65e83dc93edfbc4850f74aae206b58c9e761aebf	746	39719	293e447c658a5532d00453d7001990e57ed60dfbb95c463c6b93fead54067005	8235c50a6cf86787db042954d6b39e909551b2ff44680d3ceabf956870800564	48bbbdc2a5c73303ff6c30c719df6b334cc9b62c07971249b7c5a7e9ff17c505	annotation_snapshots/hg38_200u_50d_8235c50a6cf86787.rds	ncbiRefSeqCurated	2026-08-04 11:43:25 UTC	pscan-best-hit-v1	0.99.0	47b59b6a3135a032e02fbd4eb5608397c5cd9005	3.23	2026-08-04 11:43:25 UTC
1	validated	TRUE	hs	hg38	450	50	2020	vertebrates	2	backgrounds/J2020_hg38_450u_50d_UCSC.psbg2.txt	b560c7f5be93950d62fe9d022078d8214bf1079a55a66da115a49cd1ab81c247	746	39799	293e447c658a5532d00453d7001990e57ed60dfbb95c463c6b93fead54067005	9611936ad682a417034c653df5c6804631c6b0b874557b6a848a4a188f6c23fe	48bbbdc2a5c73303ff6c30c719df6b334cc9b62c07971249b7c5a7e9ff17c505	annotation_snapshots/hg38_450u_50d_9611936ad682a417.rds	ncbiRefSeqCurated	2026-08-04 11:50:42 UTC	pscan-best-hit-v1	0.99.0	47b59b6a3135a032e02fbd4eb5608397c5cd9005	3.23	2026-08-04 11:50:42 UTC
1	validated	TRUE	hs	hg38	500	0	2020	vertebrates	2	backgrounds/J2020_hg38_500u_0d_UCSC.psbg2.txt	3a5ef61ada495f70882de7c2e2edf52b9bc76329673b66827b73c7e99fc8bcd0	746	39805	293e447c658a5532d00453d7001990e57ed60dfbb95c463c6b93fead54067005	e2ccc8cad7d4a03eee0d1f4bc12772c2b4cfae0b89f3204b6e2c64fd5e6128ee	48bbbdc2a5c73303ff6c30c719df6b334cc9b62c07971249b7c5a7e9ff17c505	annotation_snapshots/hg38_500u_0d_e2ccc8cad7d4a03e.rds	ncbiRefSeqCurated	2026-08-04 12:03:29 UTC	pscan-best-hit-v1	0.99.0	47b59b6a3135a032e02fbd4eb5608397c5cd9005	3.23	2026-08-04 12:03:29 UTC
1	validated	TRUE	hs	hg38	950	50	2020	vertebrates	2	backgrounds/J2020_hg38_950u_50d_UCSC.psbg2.txt	2dde1d4d3d7daa13cf04fc7e23b928ccd95fba04c7bb7cb47b0d4630a58efc94	746	39864	293e447c658a5532d00453d7001990e57ed60dfbb95c463c6b93fead54067005	57741d7678e96294d960474b11dad452b4003a4cee243cb0ceacbabb1aeb86ae	48bbbdc2a5c73303ff6c30c719df6b334cc9b62c07971249b7c5a7e9ff17c505	annotation_snapshots/hg38_950u_50d_57741d7678e96294.rds	ncbiRefSeqCurated	2026-08-04 12:20:01 UTC	pscan-best-hit-v1	0.99.0	47b59b6a3135a032e02fbd4eb5608397c5cd9005	3.23	2026-08-04 12:20:01 UTC
1	validated	TRUE	hs	hg38	1000	0	2020	vertebrates	2	backgrounds/J2020_hg38_1000u_0d_UCSC.psbg2.txt	978d4e2c40f7719206930bc5b4a6e8d927fce443adadb5514aea7be3acb63ffc	746	39862	293e447c658a5532d00453d7001990e57ed60dfbb95c463c6b93fead54067005	616e8d23c64d395b45d3ac8dcf57b3d2fe0c0df776da87b5c322cb9a52624690	48bbbdc2a5c73303ff6c30c719df6b334cc9b62c07971249b7c5a7e9ff17c505	annotation_snapshots/hg38_1000u_0d_616e8d23c64d395b.rds	ncbiRefSeqCurated	2026-08-04 12:41:54 UTC	pscan-best-hit-v1	0.99.0	47b59b6a3135a032e02fbd4eb5608397c5cd9005	3.23	2026-08-04 12:41:54 UTC
