gene_id	direction
AT1G25145	down
AT2G43020	down
AT1G29951	down
AT2G01422	down
AT2G37450	down
AT5G39280	down
AT5G22570	down
AT2G30810	down
AT2G45110	down
AT4G04420	down
AT1G63057	down
AT1G64830	down
AT4G04223	down
AT4G08114	down
AT2G43580	down
AT3G25420	down
AT2G14610	down
AT1G61688	down
AT1G16390	down
AT2G01029	down
AT3G28899	down
AT3G57240	down
AT5G64810	down
AT1G21850	down
AT4G33840	down
AT1G14880	down
AT2G01930	down
AT5G39270	down
AT3G28510	down
AT3G57260	down
AT2G45760	down
AT1G30700	down
AT1G21240	down
AT5G42520	down
AT1G14685	down
AT4G23520	down
AT1G63055	down
AT2G29480	down
AT4G35725	down
AT2G42560	down
AT5G45690	down
AT4G23150	down
AT4G10500	down
AT4G13495	down
AT5G39300	down
AT3G29590	down
AT1G13520	down
AT2G29120	down
AT3G55677	down
AT1G56520	down
AT4G08109	down
AT2G20208	down
AT1G66570	down
AT2G13810	down
AT3G09940	down
AT5G01900	down
AT1G51780	down
AT5G22540	down
AT4G15735	down
AT1G73260	down
AT4G29285	down
AT4G23350	down
AT1G73607	down
AT1G62440	down
AT4G28140	down
AT3G26830	down
AT5G64750	down
AT1G71530	down
AT2G15042	down
AT5G09730	down
AT1G32350	down
AT3G22000	down
AT3G01220	down
AT4G32105	down
AT1G51860	down
AT3G28600	down
AT2G20880	down
AT2G35980	down
AT1G09080	down
AT3G22235	down
AT1G04360	down
AT3G61280	down
AT5G06090	down
AT3G60140	down
AT1G54230	down
AT5G34825	down
AT2G45840	down
AT3G21520	down
AT1G02920	down
AT1G13470	down
AT2G22510	down
AT5G39290	down
AT2G45220	down
AT2G32370	down
AT4G16870	down
AT2G38380	down
AT2G32890	down
AT4G08112	down
AT1G23720	down
AT1G47890	down
AT1G60190	down
AT3G46090	down
AT3G49620	down
AT1G10585	down
AT4G38410	down
AT3G09220	down
AT1G69818	down
AT4G05100	down
AT3G60010	down
AT5G28415	down
AT3G23725	down
AT2G39030	down
AT3G14530	down
AT3G18400	down
AT2G43570	down
AT4G24930	down
AT1G26420	down
AT5G34885	down
AT2G25440	down
AT2G02515	down
AT3G46080	down
AT5G45510	down
AT1G73610	down
AT5G38005	down
AT3G17520	down
AT3G61340	down
AT5G05220	down
AT2G29490	down
AT3G01290	down
AT1G09350	down
AT1G43160	down
AT2G27505	down
AT4G23370	down
AT3G21950	down
AT3G58865	down
AT4G04500	down
AT1G01400	down
AT4G04840	down
AT5G54165	down
AT1G16950	down
AT5G64060	down
AT4G15680	down
AT4G08770	down
AT2G32680	down
AT5G09480	down
AT5G52000	down
AT3G58250	down
AT4G21440	down
AT5G54190	down
AT2G31085	down
AT2G27880	down
AT3G46690	down
AT2G30750	down
AT2G22080	down
AT1G23700	down
AT2G29470	down
AT5G10140	down
AT5G58840	down
AT3G10580	down
