subset	ensembl_gene_id
a	ENSMUSG00000060890
a	ENSMUSG00000058831
a	ENSMUSG00000030324
a	ENSMUSG00000009108
a	ENSMUSG00000037885
a	ENSMUSG00000031450
a	ENSMUSG00000035504
a	ENSMUSG00000113924
a	ENSMUSG00000056043
a	ENSMUSG00000025340
a	ENSMUSG00000034837
a	ENSMUSG00000096740
a	ENSMUSG00000056055
a	ENSMUSG00000023978
a	ENSMUSG00000026409
a	ENSMUSG00000029672
a	ENSMUSG00000096351
a	ENSMUSG00000039672
a	ENSMUSG00000021255
a	ENSMUSG00000025860
a	ENSMUSG00000021221
a	ENSMUSG00000024992
a	ENSMUSG00000006007
a	ENSMUSG00000029064
a	ENSMUSG00000054792
a	ENSMUSG00000024575
a	ENSMUSG00000034829
a	ENSMUSG00000027360
a	ENSMUSG00000005583
a	ENSMUSG00000001211
a	ENSMUSG00000034320
a	ENSMUSG00000022836
a	ENSMUSG00000024227
a	ENSMUSG00000089917
a	ENSMUSG00000036395
a	ENSMUSG00000014164
a	ENSMUSG00000025900
a	ENSMUSG00000003657
a	ENSMUSG00000023979
a	ENSMUSG00000041920
a	ENSMUSG00000025437
a	ENSMUSG00000024901
a	ENSMUSG00000031293
a	ENSMUSG00000054717
a	ENSMUSG00000025076
a	ENSMUSG00000079550
a	ENSMUSG00000003500
a	ENSMUSG00000058966
a	ENSMUSG00000031966
a	ENSMUSG00000071984
a	ENSMUSG00000078588
a	ENSMUSG00000079173
a	ENSMUSG00000054150
a	ENSMUSG00000031491
a	ENSMUSG00000055865
a	ENSMUSG00000005124
a	ENSMUSG00000030956
a	ENSMUSG00000034452
a	ENSMUSG00000029491
a	ENSMUSG00000118515
a	ENSMUSG00000021123
a	ENSMUSG00000058743
a	ENSMUSG00000002058
a	ENSMUSG00000027589
a	ENSMUSG00000067220
a	ENSMUSG00000018362
a	ENSMUSG00000043987
a	ENSMUSG00000035181
a	ENSMUSG00000023982
a	ENSMUSG00000057337
a	ENSMUSG00000020890
a	ENSMUSG00000038886
